threshold,f1_score,business_cost
0.01,0.4317656129529684,-50850
0.015,0.4381846635367762,-49900
0.02,0.4393700787401575,-49800
0.025,0.443208895949166,-49250
0.03,0.44963738920225627,-48350
0.035,0.4527687296416938,-48000
0.04,0.4583676834295136,-47250
0.044,0.4644945697577276,-46450
0.049,0.4659377628259041,-46350
0.054,0.4694915254237288,-45900
0.059,0.47472150814053127,-45250
0.064,0.4788245462402766,-44750
0.069,0.4821583986074848,-44350
0.074,0.4851138353765324,-44000
0.079,0.48853615520282184,-43600
0.084,0.49157054125998223,-43250
0.089,0.4959713518352731,-42750
0.094,0.49864986498649866,-42450
0.099,0.5009041591320073,-42200
0.104,0.5018115942028986,-42100
0.108,0.506398537477148,-41600
0.113,0.5091911764705882,-41300
0.118,0.5134383688600556,-40850
0.123,0.5158878504672897,-40700
0.128,0.5183098591549296,-40450
0.133,0.5198487712665406,-40400
0.138,0.5233111322549953,-40050
0.143,0.5258126195028681,-39800
0.148,0.5273250239693192,-39650
0.153,0.5284474445515911,-39650
0.158,0.5300970873786408,-39600
0.163,0.5316455696202531,-39450
0.168,0.5364891518737672,-39100
0.173,0.5412935323383085,-38650
0.177,0.5418326693227091,-38600
0.182,0.544,-38400
0.187,0.5467336683417086,-38150
0.192,0.5480283114256825,-38150
0.197,0.5493387589013224,-38150
0.202,0.5489795918367347,-38300
0.207,0.5512295081967213,-38100
0.212,0.554639175257732,-37800
0.217,0.5571725571725572,-37700
0.222,0.5583333333333333,-37600
0.227,0.5606694560669456,-37400
0.232,0.5636172450052577,-37150
0.237,0.5650793650793651,-37150
0.241,0.5668789808917197,-37000
0.246,0.5665601703940362,-37150
0.251,0.5680600214362272,-37150
0.256,0.5717367853290184,-36850
0.261,0.5735930735930735,-36700
0.266,0.5767138193688792,-36450
0.271,0.5767138193688792,-36450
0.276,0.5779716466739367,-36350
0.281,0.5805038335158818,-36150
0.286,0.579582875960483,-36350
0.291,0.5827814569536424,-36100
0.296,0.5825027685492802,-36250
0.301,0.5828698553948832,-36350
0.305,0.5852017937219731,-36300
0.31,0.5878378378378378,-36100
0.315,0.5898305084745763,-35950
0.32,0.5918367346938775,-35800
0.325,0.5945330296127562,-35600
0.33,0.5986238532110092,-35300
0.335,0.5967741935483871,-35700
0.34,0.5988439306358382,-35550
0.345,0.6006984866123399,-35550
0.35,0.602803738317757,-35400
0.355,0.6018735362997658,-35600
0.36,0.6032863849765259,-35500
0.365,0.6068476977567887,-35250
0.369,0.6097271648873073,-35050
0.374,0.6117084826762246,-35050
0.379,0.6144578313253012,-35000
0.384,0.6155717761557178,-35200
0.389,0.6185819070904646,-35000
0.394,0.6206896551724138,-35000
0.399,0.6195786864931846,-35350
0.404,0.6169154228855721,-35800
0.409,0.6184538653366584,-35700
0.414,0.6192259675405742,-35650
0.419,0.6238993710691824,-35350
0.424,0.6212121212121212,-35800
0.429,0.6210392902408112,-35950
0.434,0.6181353767560664,-36550
0.438,0.6187419768934531,-36650
0.443,0.6169665809768637,-36900
0.448,0.6209573091849935,-36650
0.453,0.6215864759427828,-36750
0.458,0.6248366013071895,-36550
0.463,0.6306068601583114,-36200
0.468,0.6265060240963856,-37150
0.473,0.6263440860215054,-37300
0.478,0.6271870794078062,-37250
0.483,0.6241519674355496,-37850
0.488,0.6231292517006802,-38050
0.493,0.6212534059945504,-38300
0.498,0.6210670314637483,-38450
0.502,0.6236263736263736,-38300
0.507,0.624484181568088,-38250
0.512,0.6251728907330567,-38350
0.517,0.6258692628650904,-38450
0.522,0.6284916201117319,-38300
0.527,0.6283309957924264,-38450
0.532,0.6292134831460674,-38400
0.537,0.6318758815232722,-38250
0.542,0.6317280453257791,-38400
0.547,0.6324786324786325,-38500
0.552,0.6294706723891274,-38950
0.557,0.6284074605451937,-39150
0.562,0.6311239193083573,-39000
0.566,0.6320346320346321,-38950
0.571,0.6326530612244898,-39200
0.576,0.6325036603221084,-39350
0.581,0.6323529411764706,-39500
0.586,0.6281481481481481,-40150
0.591,0.6270430906389302,-40350
0.596,0.6218236173393124,-41050
0.601,0.6174698795180723,-41700
0.606,0.6193353474320241,-41600
0.611,0.6212121212121212,-41500
0.616,0.6212121212121212,-41500
0.621,0.624048706240487,-41350
0.626,0.6269113149847095,-41200
0.631,0.6267281105990783,-41350
0.635,0.6283048211508554,-41550
0.64,0.6300940438871473,-41600
0.645,0.6317460317460317,-41800
0.65,0.6337579617834395,-41700
0.655,0.6336,-41850
0.66,0.6334405144694534,-42000
0.665,0.6351791530944625,-42200
0.67,0.6338259441707718,-42550
0.675,0.6356073211314476,-42750
0.68,0.6352941176470588,-43050
0.685,0.631578947368421,-43650
0.69,0.626916524701874,-44150
0.695,0.6275862068965518,-44400
0.699,0.624561403508772,-45100
0.704,0.6287744227353463,-45050
0.709,0.6342342342342342,-44950
0.714,0.6338797814207651,-45250
0.719,0.6313868613138686,-45500
0.724,0.6333333333333333,-45700
0.729,0.6280373831775701,-46350
0.734,0.626641651031895,-46550
0.739,0.6212121212121212,-47200
0.744,0.6115384615384616,-48300
0.749,0.6046511627906976,-49000
0.754,0.596078431372549,-49900
0.759,0.5992063492063492,-49900
0.763,0.5963488843813387,-50550
0.768,0.5930470347648262,-50950
0.773,0.5909090909090909,-51300
0.778,0.5792811839323467,-52550
0.783,0.5622317596566524,-54000
0.788,0.5414847161572053,-55700
0.793,0.5288888888888889,-56800
0.798,0.5168539325842697,-57750
0.803,0.5079365079365079,-58450
0.808,0.4964871194379391,-59550
0.813,0.4857142857142857,-60400
0.818,0.4807692307692308,-60800
0.823,0.4630541871921182,-62100
0.827,0.4488778054862843,-63050
0.832,0.4365482233502538,-63900
0.837,0.41645244215938304,-65150
0.842,0.37994722955145116,-67350
0.847,0.3646112600536193,-68250
0.852,0.33424657534246577,-69950
0.857,0.2849002849002849,-72550
0.862,0.26900584795321636,-73300
0.867,0.24024024024024024,-74650
0.872,0.21406727828746178,-75850
0.877,0.15335463258785942,-78450
0.882,0.14193548387096774,-78900
0.887,0.12418300653594772,-79600
0.892,0.11842105263157894,-79800
0.896,0.1,-80500
0.901,0.061224489795918366,-82000
0.906,0.041379310344827586,-82700
0.911,0.027972027972027972,-83100
