threshold,f1_score,business_cost
0.01,0.41916167664670656,-52800
0.015,0.41916167664670656,-52800
0.02,0.4239212717638153,-52050
0.025,0.43010752688172044,-51100
0.03,0.43956043956043955,-49700
0.035,0.44764188649080733,-48550
0.04,0.45864045864045866,-47050
0.044,0.47058823529411764,-45500
0.049,0.47986289631533846,-44350
0.054,0.4831751509922347,-43950
0.059,0.4882301656495205,-43350
0.064,0.492091388400703,-42900
0.069,0.49557522123893805,-42500
0.074,0.5022421524663677,-41750
0.079,0.5072463768115942,-41200
0.084,0.5118829981718465,-40700
0.089,0.515179392824287,-40350
0.094,0.5228758169934641,-39550
0.099,0.5288007554296507,-38950
0.104,0.532825880114177,-38550
0.108,0.5358851674641149,-38250
0.113,0.5394990366088632,-37900
0.118,0.5431619786614937,-37550
0.123,0.5452775073028238,-37350
0.128,0.5490196078431373,-37000
0.133,0.5522682445759369,-36700
0.138,0.5572139303482587,-36250
0.143,0.5616850551654965,-35850
0.148,0.564206268958544,-35750
0.153,0.5676500508646999,-35450
0.158,0.5688073394495413,-35350
0.163,0.5717213114754098,-35100
0.168,0.5734840698869476,-34950
0.173,0.5782383419689119,-34550
0.177,0.58125,-34300
0.182,0.5836820083682008,-34100
0.187,0.5864978902953587,-34000
0.192,0.587117212249208,-33950
0.197,0.5896076352067868,-33750
0.202,0.5933831376734259,-33450
0.207,0.5946524064171123,-33350
0.212,0.5965665236051502,-33200
0.217,0.5978494623655914,-33100
0.222,0.6004319654427646,-32900
0.227,0.6017316017316018,-32800
0.232,0.6050054406964092,-32550
0.237,0.6069868995633187,-32400
0.241,0.6096491228070176,-32200
0.246,0.6170921198668147,-31650
0.251,0.6196868008948546,-31600
0.256,0.6238738738738738,-31300
0.261,0.6252821670428894,-31200
0.266,0.6288308740068105,-30950
0.271,0.6301369863013698,-31000
0.276,0.6330275229357798,-30800
0.281,0.6352128883774454,-30650
0.286,0.6396292004634995,-30350
0.291,0.6411149825783972,-30250
0.296,0.6441073512252042,-30050
0.301,0.6463700234192038,-29900
0.305,0.6486486486486487,-29750
0.31,0.6517119244391971,-29550
0.315,0.6524822695035462,-29500
0.32,0.6563614744351962,-29250
0.325,0.6563245823389021,-29400
0.33,0.6562874251497006,-29550
0.335,0.6594464500601684,-29350
0.34,0.6577992744860943,-29750
0.345,0.660996354799514,-29550
0.35,0.6634146341463415,-29400
0.355,0.6617647058823529,-29800
0.36,0.6674907292954264,-29450
0.365,0.6708074534161491,-29250
0.369,0.6733167082294265,-29100
0.374,0.678391959798995,-28800
0.379,0.6818757921419518,-28750
0.384,0.682741116751269,-28700
0.389,0.6819923371647509,-29050
0.394,0.6838046272493573,-29100
0.399,0.6847545219638242,-29200
0.404,0.6883116883116883,-29000
0.409,0.6883963494132985,-29150
0.414,0.6893840104849279,-29250
0.419,0.6911957950065704,-29150
0.424,0.6921052631578948,-29100
0.429,0.6921052631578948,-29100
0.434,0.6939313984168866,-29000
0.438,0.6985391766268261,-28750
0.443,0.6995994659546061,-28850
0.448,0.7005347593582888,-28800
0.453,0.7043010752688172,-28600
0.458,0.7046070460704607,-28900
0.463,0.7055630936227951,-28850
0.468,0.703956343792633,-29250
0.473,0.7041095890410959,-29400
